Registration id,Course Instance,Student id,Status,Grade
I-54519850527-0011,I-545,19850527-0011,completed,3.0
I-118819850527-0011,I-1188,19850527-0011,completed,3.0
I-275619891217-0012,I-2756,19891217-0012,completed,4.0
I-149519891217-0012,I-1495,19891217-0012,completed,3.0
I-307719891217-0012,I-3077,19891217-0012,completed,3.0
I-463319891217-0012,I-4633,19891217-0012,completed,4.0
I-527719891217-0012,I-5277,19891217-0012,completed,4.0
I-317519891217-0012,I-3175,19891217-0012,completed,5.0
I-496419891217-0012,I-4964,19891217-0012,completed,3.0
I-317919891217-0012,I-3179,19891217-0012,completed,4.0
I-328819891217-0012,I-3288,19891217-0012,completed,3.0
I-539619891217-0012,I-5396,19891217-0012,completed,5.0
I-225319891217-0012,I-2253,19891217-0012,completed,5.0
I-329119891217-0012,I-3291,19891217-0012,completed,4.0
I-42319861017-0014,I-423,19861017-0014,completed,5.0
I-42419861017-0014,I-424,19861017-0014,completed,3.0
I-42719861017-0014,I-427,19861017-0014,completed,4.0
I-548819861017-0014,I-5488,19861017-0014,completed,4.0
I-265419861017-0014,I-2654,19861017-0014,completed,3.0
I-54119861017-0014,I-541,19861017-0014,completed,3.0
I-54019861017-0014,I-540,19861017-0014,completed,5.0
I-54219861017-0014,I-542,19861017-0014,completed,5.0
I-515019870714-0017,I-5150,19870714-0017,completed,5.0
I-473019870714-0017,I-4730,19870714-0017,completed,5.0
I-263819870714-0017,I-2638,19870714-0017,completed,4.0
I-106519870714-0017,I-1065,19870714-0017,completed,5.0
I-139419870714-0017,I-1394,19870714-0017,completed,5.0
I-128419870714-0017,I-1284,19870714-0017,completed,3.0
I-505919870714-0017,I-5059,19870714-0017,completed,5.0
I-75919870714-0017,I-759,19870714-0017,completed,3.0
I-440519850426-0018,I-4405,19850426-0018,completed,3.0
I-483919850426-0018,I-4839,19850426-0018,completed,3.0
I-440919850426-0018,I-4409,19850426-0018,completed,4.0
I-440719850426-0018,I-4407,19850426-0018,completed,3.0
I-233919850426-0018,I-2339,19850426-0018,completed,5.0
I-441019850426-0018,I-4410,19850426-0018,completed,4.0
I-388119850426-0018,I-3881,19850426-0018,completed,3.0
I-233519850426-0018,I-2335,19850426-0018,completed,5.0
I-452219850426-0018,I-4522,19850426-0018,completed,4.0
I-505619850426-0018,I-5056,19850426-0018,completed,5.0
I-337219850426-0018,I-3372,19850426-0018,completed,5.0
I-421519850426-0018,I-4215,19850426-0018,completed,5.0
I-451119870816-0019,I-4511,19870816-0019,completed,5.0
I-451519870816-0019,I-4515,19870816-0019,completed,3.0
I-451219870816-0019,I-4512,19870816-0019,completed,4.0
I-306019870816-0019,I-3060,19870816-0019,completed,4.0
I-526319880404-0020,I-5263,19880404-0020,completed,3.0
I-213119880404-0020,I-2131,19880404-0020,completed,4.0
I-526719880404-0020,I-5267,19880404-0020,completed,3.0
I-526819880404-0020,I-5268,19880404-0020,completed,3.0
I-87619880404-0020,I-876,19880404-0020,completed,3.0
I-389619880404-0020,I-3896,19880404-0020,completed,3.0
I-538119880404-0020,I-5381,19880404-0020,completed,4.0
I-538719880404-0020,I-5387,19880404-0020,completed,3.0
I-54319891130-0023,I-543,19891130-0023,completed,5.0
I-462919891130-0023,I-4629,19891130-0023,completed,5.0
I-463019891130-0023,I-4630,19891130-0023,completed,4.0
I-463119891130-0023,I-4631,19891130-0023,completed,5.0
I-506919891130-0023,I-5069,19891130-0023,completed,3.0
I-474819891130-0023,I-4748,19891130-0023,completed,5.0
I-475319891130-0023,I-4753,19891130-0023,completed,4.0
I-474719891130-0023,I-4747,19891130-0023,completed,5.0
I-2719891130-0023,I-27,19891130-0023,completed,3.0
I-475119891130-0023,I-4751,19891130-0023,completed,5.0
I-412519891130-0023,I-4125,19891130-0023,completed,5.0
I-486319891130-0023,I-4863,19891130-0023,completed,5.0
I-390519891130-0023,I-3905,19891130-0023,completed,3.0
I-507719891130-0023,I-5077,19891130-0023,completed,3.0
I-515019860208-0024,I-5150,19860208-0024,completed,3.0
I-515119860208-0024,I-5151,19860208-0024,completed,3.0
I-515419860208-0024,I-5154,19860208-0024,completed,4.0
I-264219860208-0024,I-2642,19860208-0024,completed,3.0
I-399919851213-0025,I-3999,19851213-0025,completed,4.0
I-463319851213-0025,I-4633,19851213-0025,completed,5.0
I-296919851213-0025,I-2969,19851213-0025,completed,3.0
I-180919851213-0025,I-1809,19851213-0025,completed,5.0
I-442519851213-0025,I-4425,19851213-0025,completed,4.0
I-485919851213-0025,I-4859,19851213-0025,completed,4.0
I-369019851213-0025,I-3690,19851213-0025,completed,3.0
I-538619851213-0025,I-5386,19851213-0025,completed,3.0
I-454119851213-0025,I-4541,19851213-0025,completed,3.0
I-454319851213-0025,I-4543,19851213-0025,completed,4.0
I-24619851213-0025,I-246,19851213-0025,completed,3.0
I-507919851213-0025,I-5079,19851213-0025,completed,4.0
I-42819870512-0028,I-428,19870512-0028,completed,5.0
I-31719870512-0028,I-317,19870512-0028,completed,4.0
I-306319870512-0028,I-3063,19870512-0028,completed,3.0
I-337019870512-0028,I-3370,19870512-0028,completed,4.0
I-347719870512-0028,I-3477,19870512-0028,completed,3.0
I-347919870512-0028,I-3479,19870512-0028,completed,5.0
I-379019870512-0028,I-3790,19870512-0028,completed,3.0
I-348319870512-0028,I-3483,19870512-0028,completed,5.0
I-495519870215-0031,I-4955,19870215-0031,completed,4.0
I-328019870215-0031,I-3280,19870215-0031,completed,3.0
I-506619870215-0031,I-5066,19870215-0031,completed,3.0
I-496019870215-0031,I-4960,19870215-0031,completed,3.0
I-496319870215-0031,I-4963,19870215-0031,completed,4.0
I-317719870215-0031,I-3177,19870215-0031,completed,4.0
I-495819870215-0031,I-4958,19870215-0031,completed,5.0
I-44119870215-0031,I-441,19870215-0031,completed,3.0
I-245019870215-0031,I-2450,19870215-0031,completed,4.0
I-34519870215-0031,I-345,19870215-0031,completed,5.0
I-486819870215-0031,I-4868,19870215-0031,completed,3.0
I-507419870215-0031,I-5074,19870215-0031,completed,5.0
I-507519870215-0031,I-5075,19870215-0031,completed,4.0
I-413719870215-0031,I-4137,19870215-0031,completed,5.0
I-518919870215-0031,I-5189,19870215-0031,completed,5.0
I-5219870215-0031,I-52,19870215-0031,completed,5.0
I-340019870215-0031,I-3400,19870215-0031,completed,4.0
I-421019881204-0033,I-4210,19881204-0033,completed,4.0
I-264919881204-0033,I-2649,19881204-0033,completed,5.0
I-264619881204-0033,I-2646,19881204-0033,completed,3.0
I-244519881204-0033,I-2445,19881204-0033,completed,3.0
I-538819881204-0033,I-5388,19881204-0033,completed,4.0
I-276519881204-0033,I-2765,19881204-0033,completed,5.0
I-318319881204-0033,I-3183,19881204-0033,completed,5.0
I-235619881204-0033,I-2356,19881204-0033,completed,3.0
I-276419881204-0033,I-2764,19881204-0033,completed,3.0
I-277219881204-0033,I-2772,19881204-0033,completed,4.0
I-379519881204-0033,I-3795,19881204-0033,completed,4.0
I-161019881204-0033,I-1610,19881204-0033,completed,5.0
I-276919881204-0033,I-2769,19881204-0033,completed,3.0
I-140519881204-0033,I-1405,19881204-0033,completed,3.0
I-307919890416-0034,I-3079,19890416-0034,completed,5.0
I-140219890416-0034,I-1402,19890416-0034,completed,3.0
I-308119890416-0034,I-3081,19890416-0034,completed,4.0
I-87919890416-0034,I-879,19890416-0034,completed,4.0
I-236619890416-0034,I-2366,19890416-0034,completed,5.0
I-423619890416-0034,I-4236,19890416-0034,completed,3.0
I-518619890416-0034,I-5186,19890416-0034,completed,3.0
I-256619890416-0034,I-2566,19890416-0034,completed,5.0
I-329519890416-0034,I-3295,19890416-0034,completed,4.0
I-371119890416-0034,I-3711,19890416-0034,completed,4.0
I-329719890416-0034,I-3297,19890416-0034,completed,5.0
I-69119890416-0034,I-691,19890416-0034,completed,3.0
I-336419891011-0035,I-3364,19891011-0035,completed,5.0
I-31719891011-0035,I-317,19891011-0035,completed,3.0
I-336519891011-0035,I-3365,19891011-0035,completed,3.0
I-336919891011-0035,I-3369,19891011-0035,completed,3.0
I-316919891011-0035,I-3169,19891011-0035,completed,4.0
I-379019891011-0035,I-3790,19891011-0035,completed,4.0
I-128719891011-0035,I-1287,19891011-0035,completed,5.0
I-159719891011-0035,I-1597,19891011-0035,completed,5.0
I-275619890927-0036,I-2756,19890927-0036,completed,3.0
I-255019890927-0036,I-2550,19890927-0036,completed,5.0
I-202619890927-0036,I-2026,19890927-0036,completed,4.0
I-307219890927-0036,I-3072,19890927-0036,completed,4.0
I-527719890927-0036,I-5277,19890927-0036,completed,5.0
I-224519890927-0036,I-2245,19890927-0036,completed,5.0
I-496419890927-0036,I-4964,19890927-0036,completed,3.0
I-317919890927-0036,I-3179,19890927-0036,completed,5.0
I-317619890927-0036,I-3176,19890927-0036,completed,3.0
I-171219890927-0036,I-1712,19890927-0036,completed,5.0
I-129419890927-0036,I-1294,19890927-0036,completed,5.0
I-463919890927-0036,I-4639,19890927-0036,completed,5.0
I-318019890927-0036,I-3180,19890927-0036,completed,5.0
I-318419890927-0036,I-3184,19890927-0036,completed,3.0
I-328819890927-0036,I-3288,19890927-0036,completed,5.0
I-24919890927-0036,I-249,19890927-0036,completed,4.0
I-298919890927-0036,I-2989,19890927-0036,completed,3.0
I-329119890927-0036,I-3291,19890927-0036,completed,3.0
I-190419870422-0037,I-1904,19870422-0037,completed,4.0
I-201319870422-0037,I-2013,19870422-0037,completed,4.0
I-190919870422-0037,I-1909,19870422-0037,completed,4.0
I-190619870422-0037,I-1906,19870422-0037,completed,5.0
I-75619870422-0037,I-756,19870422-0037,completed,3.0
I-264619870422-0037,I-2646,19870422-0037,completed,4.0
I-442219870422-0037,I-4422,19870422-0037,completed,5.0
I-1119870422-0037,I-11,19870422-0037,completed,4.0
I-202619870422-0037,I-2026,19870422-0037,completed,3.0
I-287819870422-0037,I-2878,19870422-0037,completed,4.0
I-527919870422-0037,I-5279,19870422-0037,completed,5.0
I-213919870422-0037,I-2139,19870422-0037,completed,4.0
I-369819870422-0037,I-3698,19870422-0037,completed,3.0
I-23719881020-0039,I-237,19881020-0039,completed,4.0
I-66619881020-0039,I-666,19881020-0039,completed,3.0
I-66719881020-0039,I-667,19881020-0039,completed,3.0
I-203219881020-0039,I-2032,19881020-0039,completed,3.0
I-507219881020-0039,I-5072,19881020-0039,completed,5.0
I-24719881020-0039,I-247,19881020-0039,completed,5.0
I-476119881020-0039,I-4761,19881020-0039,completed,5.0
I-78319881020-0039,I-783,19881020-0039,completed,5.0
I-89019881020-0039,I-890,19881020-0039,completed,3.0
I-413619881020-0039,I-4136,19881020-0039,completed,4.0
I-278619881020-0039,I-2786,19881020-0039,completed,4.0
I-89319881020-0039,I-893,19881020-0039,completed,3.0
I-129119881216-0040,I-1291,19881216-0040,completed,3.0
I-411319881216-0040,I-4113,19881216-0040,completed,4.0
I-277019881216-0040,I-2770,19881216-0040,completed,5.0
I-474919881216-0040,I-4749,19881216-0040,completed,3.0
I-277619881216-0040,I-2776,19881216-0040,completed,3.0
I-432419881216-0040,I-4324,19881216-0040,completed,5.0
I-390719881216-0040,I-3907,19881216-0040,completed,4.0
I-518719881216-0040,I-5187,19881216-0040,completed,4.0
I-141519881216-0040,I-1415,19881216-0040,completed,4.0
I-141719881216-0040,I-1417,19881216-0040,completed,4.0
I-329119881216-0040,I-3291,19881216-0040,completed,5.0
I-142119881216-0040,I-1421,19881216-0040,completed,3.0
I-142019881216-0040,I-1420,19881216-0040,completed,4.0
I-120019881216-0040,I-1200,19881216-0040,completed,4.0
I-287319870720-0041,I-2873,19870720-0041,completed,3.0
I-287619870720-0041,I-2876,19870720-0041,completed,3.0
I-287419870720-0041,I-2874,19870720-0041,completed,4.0
I-55719870720-0041,I-557,19870720-0041,completed,4.0
I-506519870720-0041,I-5065,19870720-0041,completed,3.0
I-287819870720-0041,I-2878,19870720-0041,completed,5.0
I-288219870720-0041,I-2882,19870720-0041,completed,5.0
I-97819870720-0041,I-978,19870720-0041,completed,5.0
I-287919870720-0041,I-2879,19870720-0041,completed,5.0
I-298619870720-0041,I-2986,19870720-0041,completed,5.0
I-349519870720-0041,I-3495,19870720-0041,completed,4.0
I-298819870720-0041,I-2988,19870720-0041,completed,4.0
I-329319870720-0041,I-3293,19870720-0041,completed,4.0
I-504319880818-0043,I-5043,19880818-0043,completed,4.0
I-316019880818-0043,I-3160,19880818-0043,completed,3.0
I-504519880818-0043,I-5045,19880818-0043,completed,5.0
I-505119880818-0043,I-5051,19880818-0043,completed,5.0
I-244119880818-0043,I-2441,19880818-0043,completed,4.0
I-296919880818-0043,I-2969,19880818-0043,completed,5.0
I-516519880818-0043,I-5165,19880818-0043,completed,4.0
I-378419880818-0043,I-3784,19880818-0043,completed,4.0
I-32519880204-0045,I-325,19880204-0045,completed,4.0
I-234119880204-0045,I-2341,19880204-0045,completed,5.0
I-86719880204-0045,I-867,19880204-0045,completed,3.0
I-548919880204-0045,I-5489,19880204-0045,completed,5.0
I-2519880204-0045,I-25,19880204-0045,completed,5.0
I-44219880204-0045,I-442,19880204-0045,completed,4.0
I-44319880204-0045,I-443,19880204-0045,completed,5.0
I-44419880204-0045,I-444,19880204-0045,completed,3.0
I-88519880204-0045,I-885,19880204-0045,completed,3.0
I-339319880204-0045,I-3393,19880204-0045,completed,5.0
I-267419880204-0045,I-2674,19880204-0045,completed,3.0
I-67819880204-0045,I-678,19880204-0045,completed,4.0
I-274619880807-0046,I-2746,19880807-0046,completed,5.0
I-357019880807-0046,I-3570,19880807-0046,completed,5.0
I-190519880807-0046,I-1905,19880807-0046,completed,3.0
I-274919880807-0046,I-2749,19880807-0046,completed,5.0
I-367719890219-0047,I-3677,19890219-0047,completed,5.0
I-515219890219-0047,I-5152,19890219-0047,completed,5.0
I-243419890219-0047,I-2434,19890219-0047,completed,3.0
I-127419890219-0047,I-1274,19890219-0047,completed,5.0
I-254719890219-0047,I-2547,19890219-0047,completed,4.0
I-254819890219-0047,I-2548,19890219-0047,completed,5.0
I-410319890219-0047,I-4103,19890219-0047,completed,5.0
I-307119890219-0047,I-3071,19890219-0047,completed,4.0
I-409919870412-0048,I-4099,19870412-0048,completed,5.0
I-504419870412-0048,I-5044,19870412-0048,completed,5.0
I-64319870412-0048,I-643,19870412-0048,completed,3.0
I-409819870412-0048,I-4098,19870412-0048,completed,3.0
I-337019870412-0048,I-3370,19870412-0048,completed,5.0
I-64419870412-0048,I-644,19870412-0048,completed,4.0
I-64719870412-0048,I-647,19870412-0048,completed,5.0
I-75519870412-0048,I-755,19870412-0048,completed,4.0
I-233319870412-0048,I-2333,19870412-0048,completed,4.0
I-64619870412-0048,I-646,19870412-0048,completed,5.0
I-75819870412-0048,I-758,19870412-0048,completed,4.0
I-76219870412-0048,I-762,19870412-0048,completed,5.0
I-213519870412-0048,I-2135,19870412-0048,completed,3.0
I-12719870412-0048,I-127,19870412-0048,completed,5.0
I-13419870412-0048,I-134,19870412-0048,completed,4.0
I-308019870412-0048,I-3080,19870412-0048,completed,4.0
I-87919870412-0048,I-879,19870412-0048,completed,5.0
I-87419870412-0048,I-874,19870412-0048,completed,5.0
I-87319870412-0048,I-873,19870412-0048,completed,3.0
I-527319870412-0048,I-5273,19870412-0048,completed,3.0
I-368919870412-0048,I-3689,19870412-0048,completed,4.0
I-66919870412-0048,I-669,19870412-0048,completed,4.0
I-327719870412-0048,I-3277,19870412-0048,completed,3.0
I-87219870412-0048,I-872,19870412-0048,completed,5.0
I-1119860119-0049,I-11,19860119-0049,completed,4.0
I-1219860119-0049,I-12,19860119-0049,completed,5.0
I-33119860119-0049,I-331,19860119-0049,completed,5.0
I-1519860119-0049,I-15,19860119-0049,completed,5.0
I-13019860119-0049,I-130,19860119-0049,completed,4.0
I-538819860119-0049,I-5388,19860119-0049,completed,3.0
I-151119860119-0049,I-1511,19860119-0049,completed,4.0
I-76819860119-0049,I-768,19860119-0049,completed,3.0
I-454219860119-0049,I-4542,19860119-0049,completed,4.0
I-24819860119-0049,I-248,19860119-0049,completed,3.0
I-56019860119-0049,I-560,19860119-0049,completed,3.0
I-318719860119-0049,I-3187,19860119-0049,completed,4.0
I-203419880522-0050,I-2034,19880522-0050,completed,5.0
I-412219880522-0050,I-4122,19880522-0050,completed,5.0
I-224919880522-0050,I-2249,19880522-0050,completed,5.0
I-359019880522-0050,I-3590,19880522-0050,completed,4.0
I-34519880522-0050,I-345,19880522-0050,completed,3.0
I-24719880522-0050,I-247,19880522-0050,completed,3.0
I-142219880522-0050,I-1422,19880522-0050,completed,5.0
I-476119880522-0050,I-4761,19880522-0050,completed,5.0
I-205519880522-0050,I-2055,19880522-0050,completed,5.0
I-89119880522-0050,I-891,19880522-0050,completed,3.0
I-391719880522-0050,I-3917,19880522-0050,completed,3.0
I-5119880522-0050,I-51,19880522-0050,completed,4.0
I-95919851109-0051,I-959,19851109-0051,completed,3.0
I-233719851109-0051,I-2337,19851109-0051,completed,3.0
I-243419851109-0051,I-2434,19851109-0051,completed,5.0
I-106719851109-0051,I-1067,19851109-0051,completed,4.0
I-254719851109-0051,I-2547,19851109-0051,completed,3.0
I-254819851109-0051,I-2548,19851109-0051,completed,3.0
I-410319851109-0051,I-4103,19851109-0051,completed,5.0
I-255019851109-0051,I-2550,19851109-0051,completed,4.0
I-170019890611-0052,I-1700,19890611-0052,completed,3.0
I-170119890611-0052,I-1701,19890611-0052,completed,5.0
I-170419890611-0052,I-1704,19890611-0052,completed,5.0
I-326919890611-0052,I-3269,19890611-0052,completed,3.0
I-202619890611-0052,I-2026,19890611-0052,completed,5.0
I-139619890611-0052,I-1396,19890611-0052,completed,3.0
I-307619890611-0052,I-3076,19890611-0052,completed,5.0
I-286819890611-0052,I-2868,19890611-0052,completed,4.0
I-181119890611-0052,I-1811,19890611-0052,completed,3.0
I-486019890611-0052,I-4860,19890611-0052,completed,3.0
I-181419890611-0052,I-1814,19890611-0052,completed,4.0
I-181319890611-0052,I-1813,19890611-0052,completed,4.0
I-181519890611-0052,I-1815,19890611-0052,completed,3.0
I-244919890611-0052,I-2449,19890611-0052,completed,3.0
I-538019890611-0052,I-5380,19890611-0052,completed,5.0
I-297919890611-0052,I-2979,19890611-0052,completed,5.0
I-493619870427-0056,I-4936,19870427-0056,completed,4.0
I-286119870427-0056,I-2861,19870427-0056,completed,4.0
I-21919870427-0056,I-219,19870427-0056,completed,3.0
I-526119870427-0056,I-5261,19870427-0056,completed,3.0
I-452519870427-0056,I-4525,19870427-0056,completed,3.0
I-202119870427-0056,I-2021,19870427-0056,completed,5.0
I-66219870427-0056,I-662,19870427-0056,completed,5.0
I-431119870427-0056,I-4311,19870427-0056,completed,3.0
I-485419870427-0056,I-4854,19870427-0056,completed,4.0
I-517219870427-0056,I-5172,19870427-0056,completed,4.0
I-538219870427-0056,I-5382,19870427-0056,completed,4.0
I-517719870427-0056,I-5177,19870427-0056,completed,3.0
I-494619861117-0057,I-4946,19861117-0057,completed,5.0
I-494719861117-0057,I-4947,19861117-0057,completed,5.0
I-307319861117-0057,I-3073,19861117-0057,completed,4.0
I-494919861117-0057,I-4949,19861117-0057,completed,4.0
I-495319861117-0057,I-4953,19861117-0057,completed,4.0
I-495119861117-0057,I-4951,19861117-0057,completed,4.0
I-442319861117-0057,I-4423,19861117-0057,completed,4.0
I-494819861117-0057,I-4948,19861117-0057,completed,3.0
I-108019861117-0057,I-1080,19861117-0057,completed,3.0
I-506319861117-0057,I-5063,19861117-0057,completed,3.0
I-506519861117-0057,I-5065,19861117-0057,completed,4.0
I-538119861117-0057,I-5381,19861117-0057,completed,5.0
I-517919861117-0057,I-5179,19861117-0057,completed,4.0
I-518019861117-0057,I-5180,19861117-0057,completed,5.0
I-214719861117-0057,I-2147,19861117-0057,completed,4.0
I-98419861117-0057,I-984,19861117-0057,completed,3.0
I-56519861117-0057,I-565,19861117-0057,completed,3.0
I-130519861117-0057,I-1305,19861117-0057,completed,3.0
I-518419861117-0057,I-5184,19861117-0057,completed,3.0
I-318719861117-0057,I-3187,19861117-0057,completed,4.0
I-53419891109-0058,I-534,19891109-0058,completed,4.0
I-263719891109-0058,I-2637,19891109-0058,completed,3.0
I-264119891109-0058,I-2641,19891109-0058,completed,5.0
I-138219891109-0058,I-1382,19891109-0058,completed,4.0
I-223319891109-0058,I-2233,19891109-0058,completed,5.0
I-2219891109-0058,I-22,19891109-0058,completed,3.0
I-275719891109-0058,I-2757,19891109-0058,completed,3.0
I-276119891109-0058,I-2761,19891109-0058,completed,5.0
I-538519890705-0059,I-5385,19890705-0059,completed,3.0
I-358419890705-0059,I-3584,19890705-0059,completed,5.0
I-13619890705-0059,I-136,19890705-0059,completed,4.0
I-358619890705-0059,I-3586,19890705-0059,completed,5.0
I-369919890705-0059,I-3699,19890705-0059,completed,3.0
I-299019890705-0059,I-2990,19890705-0059,completed,4.0
I-236419890705-0059,I-2364,19890705-0059,completed,3.0
I-370219890705-0059,I-3702,19890705-0059,completed,3.0
I-223219860128-0061,I-2232,19860128-0061,completed,4.0
I-234819860128-0061,I-2348,19860128-0061,completed,3.0
I-223519860128-0061,I-2235,19860128-0061,completed,4.0
I-516919860128-0061,I-5169,19860128-0061,completed,4.0
I-235019860128-0061,I-2350,19860128-0061,completed,3.0
I-235119860128-0061,I-2351,19860128-0061,completed,4.0
I-235319860128-0061,I-2353,19860128-0061,completed,5.0
I-151219860128-0061,I-1512,19860128-0061,completed,3.0
I-431019850704-0062,I-4310,19850704-0062,completed,3.0
I-307219850704-0062,I-3072,19850704-0062,completed,3.0
I-149819850704-0062,I-1498,19850704-0062,completed,4.0
I-149919850704-0062,I-1499,19850704-0062,completed,4.0
I-527419850704-0062,I-5274,19850704-0062,completed,4.0
I-161019850704-0062,I-1610,19850704-0062,completed,5.0
I-160819850704-0062,I-1608,19850704-0062,completed,5.0
I-87119850704-0062,I-871,19850704-0062,completed,3.0
I-22519860412-0063,I-225,19860412-0063,completed,3.0
