Course,Planned number of Students,Senior Hours,Assistant Hours,Course code,Study period,Academic year,Instance_id,Examiner
I-130,50,240,240,1221,2.0,2015-2016,I-130,19600905-0003
I-131,60,260,200,1073,4.0,2015-2016,I-131,19570828-0008
I-132,40,280,420,1230,4.0,2015-2016,I-132,19610620-0006
I-133,40,280,420,1208,4.0,2015-2016,I-133,19600905-0003
I-134,20,260,360,1201,3.0,2015-2016,I-134,19560812-0016
I-135,60,280,280,1199,4.0,2015-2016,I-135,19680712-0028
I-136,20,240,200,1144,3.0,2015-2016,I-136,19610918-0027
I-137,40,260,240,1086,4.0,2015-2016,I-137,19601021-0018
I-138,60,240,240,1040,2.0,2015-2016,I-138,19600814-0002
I-139,20,260,200,1011,1.0,2015-2016,I-139,19680712-0028
I-140,60,280,280,1258,3.0,2016-2017,I-140,19561222-0030
I-141,60,260,300,1284,2.0,2016-2017,I-141,19690408-0009
I-142,20,260,240,1094,1.0,2016-2017,I-142,19560612-0010
I-143,50,240,280,1008,3.0,2016-2017,I-143,19601021-0018
I-144,40,260,420,1250,1.0,2016-2017,I-144,19611219-0014
I-145,40,240,240,1197,1.0,2016-2017,I-145,19640414-0013
I-146,50,280,280,1176,4.0,2016-2017,I-146,19620522-0023
I-147,40,260,360,1011,2.0,2016-2017,I-147,19690513-0015
I-148,20,260,360,1240,3.0,2017-2018,I-148,19570828-0008
I-149,40,260,240,1194,2.0,2017-2018,I-149,19640414-0013
I-150,50,280,240,1208,4.0,2017-2018,I-150,19600905-0003
I-151,50,280,300,1158,1.0,2017-2018,I-151,19620424-0026
I-152,50,260,300,1133,2.0,2017-2018,I-152,19601021-0018
I-153,20,260,420,1060,2.0,2017-2018,I-153,19690513-0015
I-154,50,240,240,1257,2.0,2017-2018,I-154,19560812-0016
I-155,50,280,280,1201,2.0,2017-2018,I-155,19580218-0007
I-156,60,240,200,1169,4.0,2017-2018,I-156,19600905-0003
I-157,40,260,240,1081,1.0,2017-2018,I-157,19580515-0017
I-158,50,260,300,1066,3.0,2017-2018,I-158,19561222-0030
I-159,40,280,280,1021,4.0,2017-2018,I-159,19680712-0028
I-160,50,280,240,1276,2.0,2018-2019,I-160,19600905-0003
I-161,60,280,300,1129,3.0,2018-2019,I-161,19561222-0030
I-162,40,240,360,1117,1.0,2018-2019,I-162,19640414-0013
I-163,20,280,420,1116,1.0,2018-2019,I-163,19610918-0027
I-164,20,240,300,1048,1.0,2018-2019,I-164,19601021-0018
I-165,20,280,200,1248,3.0,2018-2019,I-165,19561222-0030
I-166,60,260,200,1235,1.0,2018-2019,I-166,19630126-0001
I-167,60,240,280,1204,2.0,2018-2019,I-167,19600905-0003
I-168,40,260,420,1153,2.0,2018-2019,I-168,19640220-0029
I-169,20,280,240,1076,2.0,2018-2019,I-169,19611219-0014
I-170,20,260,300,1108,1.0,2019-2020,I-170,19610620-0006
I-171,20,240,360,1077,1.0,2019-2020,I-171,19590129-0004
I-172,60,260,360,1024,4.0,2019-2020,I-172,19660630-0020
I-173,60,240,300,1014,4.0,2019-2020,I-173,19580515-0017
I-174,40,280,360,1234,2.0,2019-2020,I-174,19590129-0004
I-175,50,280,280,1224,1.0,2019-2020,I-175,19620522-0023
I-176,50,280,360,1202,4.0,2019-2020,I-176,19561222-0030
I-177,60,280,200,1200,4.0,2019-2020,I-177,19560612-0010
I-178,20,260,280,1025,4.0,2019-2020,I-178,19580218-0007
I-179,40,240,200,1048,2.0,2020-2021,I-179,19610918-0027
I-180,60,240,280,1196,1.0,2020-2021,I-180,19640220-0029
I-181,20,240,360,1194,2.0,2020-2021,I-181,19560812-0016
I-182,40,240,360,1107,1.0,2020-2021,I-182,19680712-0028
I-183,20,280,280,1096,2.0,2020-2021,I-183,19560705-0025
I-184,60,240,200,1258,1.0,2020-2021,I-184,19560612-0010
I-185,60,260,280,1182,2.0,2020-2021,I-185,19570826-0012
I-186,20,240,420,1158,4.0,2020-2021,I-186,19600905-0003
I-187,60,240,420,1130,4.0,2020-2021,I-187,19570615-0011
I-188,20,260,240,1064,2.0,2020-2021,I-188,19630126-0001
I-189,40,280,300,1142,4.0,2021-2022,I-189,19601021-0018
I-190,60,260,200,1287,2.0,2021-2022,I-190,19570615-0011
I-191,40,280,280,1206,2.0,2021-2022,I-191,19601021-0018
I-192,60,280,300,1236,1.0,2021-2022,I-192,19610620-0006
I-193,40,240,200,1178,3.0,2021-2022,I-193,19570826-0012
I-194,60,240,240,1029,3.0,2021-2022,I-194,19640414-0013
I-195,50,260,240,1024,2.0,2021-2022,I-195,19610918-0027
I-196,40,280,280,1007,2.0,2021-2022,I-196,19570826-0012
I-197,20,240,300,1286,4.0,2022-2023,I-197,19570826-0012
I-198,50,280,280,1187,4.0,2022-2023,I-198,19560812-0016
I-199,40,240,200,1222,4.0,2022-2023,I-199,19560705-0025
I-200,20,260,240,1040,4.0,2022-2023,I-200,19620831-0024
I-201,60,260,200,1275,4.0,2022-2023,I-201,19620522-0023
I-202,40,240,300,1210,1.0,2022-2023,I-202,19560612-0010
I-203,20,280,420,1194,2.0,2022-2023,I-203,19561222-0030
I-204,50,260,280,1191,4.0,2022-2023,I-204,19560612-0010
I-205,60,280,240,1037,4.0,2022-2023,I-205,19620831-0024
I-206,60,240,280,1017,2.0,2022-2023,I-206,19560612-0010
I-207,50,240,300,1163,3.0,2023-2024,I-207,19620424-0026
I-208,50,260,280,1146,2.0,2023-2024,I-208,19690917-0022
I-209,50,280,200,1035,2.0,2023-2024,I-209,19620424-0026
I-210,50,280,420,1010,2.0,2023-2024,I-210,19640414-0013
I-211,60,280,200,1011,3.0,2023-2024,I-211,19580515-0017
I-212,20,240,280,1294,4.0,2023-2024,I-212,19561222-0030
I-213,20,240,420,1283,3.0,2023-2024,I-213,19640220-0029
I-214,20,260,300,1184,3.0,2023-2024,I-214,19640220-0029
I-215,50,260,420,1180,4.0,2023-2024,I-215,19620424-0026
I-216,60,260,280,1236,1.0,2013-2014,I-216,19640220-0029
I-217,20,260,360,1093,4.0,2013-2014,I-217,19630126-0001
I-218,60,280,420,1255,2.0,2013-2014,I-218,19600529-0021
I-219,50,240,240,1235,1.0,2013-2014,I-219,19650303-0019
I-220,20,280,240,1140,3.0,2013-2014,I-220,19560705-0025
I-221,50,240,200,1266,3.0,2013-2014,I-221,19650303-0019
I-222,60,280,280,1160,2.0,2013-2014,I-222,19600905-0003
I-223,20,240,240,1135,1.0,2013-2014,I-223,19630126-0001
I-224,60,260,300,1100,3.0,2013-2014,I-224,19560612-0010
I-225,60,240,280,1037,3.0,2013-2014,I-225,19561222-0030
I-226,60,260,300,1034,2.0,2013-2014,I-226,19640220-0029
I-227,20,280,200,1255,2.0,2014-2015,I-227,19680712-0028
I-228,60,240,200,1033,1.0,2014-2015,I-228,19630126-0001
I-229,60,280,280,1023,3.0,2014-2015,I-229,19590129-0004
I-230,20,240,420,1220,1.0,2014-2015,I-230,19620424-0026
I-231,20,260,300,1149,3.0,2014-2015,I-231,19600529-0021
I-232,20,260,280,1098,1.0,2014-2015,I-232,19580218-0007
I-233,20,260,420,1076,2.0,2014-2015,I-233,19560705-0025
I-234,40,260,300,1032,3.0,2014-2015,I-234,19630126-0001
I-235,20,280,420,1168,4.0,2015-2016,I-235,19650303-0019
I-236,50,280,420,1149,1.0,2015-2016,I-236,19640220-0029
I-237,50,280,240,1146,1.0,2015-2016,I-237,19580515-0017
I-238,40,240,240,1103,1.0,2015-2016,I-238,19611219-0014
I-239,60,260,280,1008,3.0,2015-2016,I-239,19640220-0029
I-240,40,240,420,1233,4.0,2015-2016,I-240,19680712-0028
I-241,60,280,240,1205,3.0,2015-2016,I-241,19620522-0023
I-242,20,260,360,1190,4.0,2015-2016,I-242,19610918-0027
I-243,40,240,420,1067,2.0,2015-2016,I-243,19570828-0008
I-244,20,280,420,1049,2.0,2015-2016,I-244,19570828-0008
I-245,50,240,360,1009,1.0,2015-2016,I-245,19620424-0026
I-246,50,260,300,1128,2.0,2016-2017,I-246,19690513-0015
I-247,40,240,240,1222,3.0,2016-2017,I-247,19610623-0005
I-248,60,260,280,1122,1.0,2016-2017,I-248,19680712-0028
I-249,60,260,300,1120,1.0,2016-2017,I-249,19561222-0030
I-250,20,280,240,1273,1.0,2016-2017,I-250,19570828-0008
I-251,60,280,360,1182,1.0,2016-2017,I-251,19690408-0009
I-252,60,260,280,1150,3.0,2016-2017,I-252,19600905-0003
I-253,60,280,420,1052,3.0,2016-2017,I-253,19690408-0009
I-254,50,240,420,1248,3.0,2017-2018,I-254,19570615-0011
I-255,50,260,420,1221,1.0,2017-2018,I-255,19640220-0029
I-256,50,260,300,1048,4.0,2017-2018,I-256,19611219-0014
I-257,50,260,240,1025,1.0,2017-2018,I-257,19570615-0011
I-258,40,240,280,1238,3.0,2017-2018,I-258,19620424-0026
I-259,40,260,280,1211,1.0,2017-2018,I-259,19560705-0025
I-260,40,240,360,1117,3.0,2017-2018,I-260,19680712-0028
I-261,50,240,240,1072,2.0,2017-2018,I-261,19611219-0014
I-262,40,260,360,1013,4.0,2018-2019,I-262,19560705-0025
I-263,40,280,200,1273,4.0,2018-2019,I-263,19610918-0027
I-264,20,240,360,1230,3.0,2018-2019,I-264,19580218-0007
I-265,40,240,300,1079,3.0,2018-2019,I-265,19610620-0006
I-266,20,280,240,1237,3.0,2018-2019,I-266,19610620-0006
I-267,50,240,420,1205,2.0,2018-2019,I-267,19570826-0012
I-268,40,240,280,1197,4.0,2018-2019,I-268,19580515-0017
I-269,40,260,200,1185,1.0,2018-2019,I-269,19580515-0017
I-270,60,280,240,1058,2.0,2018-2019,I-270,19601021-0018
I-271,40,240,360,1043,4.0,2018-2019,I-271,19600814-0002
I-272,50,240,360,1049,3.0,2019-2020,I-272,19610620-0006
I-273,60,240,360,1205,2.0,2019-2020,I-273,19690408-0009
I-274,20,240,280,1152,2.0,2019-2020,I-274,19650303-0019
I-275,60,260,300,1055,2.0,2019-2020,I-275,19660630-0020
I-276,50,260,200,1292,4.0,2019-2020,I-276,19560812-0016
I-277,60,240,300,1189,1.0,2019-2020,I-277,19610623-0005
I-278,20,240,240,1170,1.0,2019-2020,I-278,19610918-0027
I-279,20,240,240,1118,2.0,2019-2020,I-279,19570828-0008
I-280,40,240,240,1090,1.0,2019-2020,I-280,19640220-0029
I-281,40,240,240,1073,4.0,2019-2020,I-281,19560705-0025
I-282,50,240,420,1077,4.0,2020-2021,I-282,19650303-0019
I-283,20,240,240,1213,2.0,2020-2021,I-283,19580218-0007
I-284,40,260,280,1199,3.0,2020-2021,I-284,19600529-0021
I-285,50,240,240,1049,1.0,2020-2021,I-285,19560705-0025
I-286,60,240,280,1222,1.0,2020-2021,I-286,19611219-0014
I-287,60,260,240,1192,1.0,2020-2021,I-287,19620831-0024
I-288,50,280,420,1164,4.0,2020-2021,I-288,19560612-0010
I-289,60,260,200,1113,2.0,2020-2021,I-289,19560612-0010
I-290,60,240,420,1031,2.0,2020-2021,I-290,19640414-0013
I-291,60,260,360,1276,3.0,2021-2022,I-291,19600905-0003
I-292,60,260,420,1207,3.0,2021-2022,I-292,19640414-0013
I-293,60,280,360,1118,1.0,2021-2022,I-293,19570615-0011
I-294,20,280,300,1217,4.0,2021-2022,I-294,19690513-0015
I-295,20,280,360,1162,3.0,2021-2022,I-295,19570615-0011
I-296,40,280,360,1072,4.0,2021-2022,I-296,19660630-0020
I-297,40,280,360,1064,1.0,2021-2022,I-297,19580218-0007
I-298,60,240,360,1184,3.0,2022-2023,I-298,19630126-0001
I-299,20,240,200,1218,4.0,2022-2023,I-299,19680712-0028
I-300,20,260,240,1066,1.0,2022-2023,I-300,19600814-0002
I-301,50,280,300,1272,3.0,2022-2023,I-301,19600814-0002
I-302,60,280,200,1190,2.0,2022-2023,I-302,19610623-0005
I-303,20,260,200,1131,1.0,2022-2023,I-303,19600814-0002
I-304,20,260,280,1125,3.0,2022-2023,I-304,19690408-0009
I-305,60,260,360,1046,1.0,2022-2023,I-305,19560812-0016
I-306,20,240,280,1070,1.0,2023-2024,I-306,19560705-0025
I-307,20,280,200,1009,4.0,2023-2024,I-307,19610620-0006
I-308,60,240,360,1290,4.0,2023-2024,I-308,19580515-0017
I-309,40,240,360,1173,2.0,2023-2024,I-309,19620424-0026
I-310,40,280,360,1004,3.0,2023-2024,I-310,19570828-0008
I-311,50,240,240,1296,4.0,2023-2024,I-311,19560612-0010
I-312,40,280,300,1240,4.0,2023-2024,I-312,19600814-0002
I-313,20,280,360,1160,2.0,2023-2024,I-313,19590129-0004
I-314,20,240,300,1158,3.0,2023-2024,I-314,19611219-0014
I-315,40,240,240,1115,2.0,2023-2024,I-315,19560612-0010
I-316,60,260,360,1022,4.0,2023-2024,I-316,19680712-0028
I-317,20,280,360,1162,3.0,2013-2014,I-317,19610623-0005
I-318,20,280,300,1240,2.0,2013-2014,I-318,19570615-0011
I-319,40,240,420,1101,2.0,2013-2014,I-319,19600814-0002
I-320,50,280,360,1093,1.0,2013-2014,I-320,19690513-0015
I-321,50,260,300,1262,4.0,2013-2014,I-321,19690513-0015
I-322,40,260,240,1208,3.0,2013-2014,I-322,19601021-0018
I-323,40,240,240,1199,2.0,2013-2014,I-323,19560705-0025
I-324,60,260,420,1083,2.0,2013-2014,I-324,19560612-0010
I-325,20,260,420,1121,1.0,2014-2015,I-325,19611219-0014
I-326,50,260,360,1211,2.0,2014-2015,I-326,19640414-0013
I-327,50,260,200,1171,4.0,2014-2015,I-327,19570826-0012
I-328,20,260,420,1267,1.0,2014-2015,I-328,19611219-0014
I-329,60,240,420,1263,4.0,2014-2015,I-329,19690917-0022
I-330,40,240,240,1160,1.0,2014-2015,I-330,19620522-0023
I-331,40,240,280,1108,4.0,2014-2015,I-331,19600905-0003
I-332,20,280,300,1087,3.0,2014-2015,I-332,19580218-0007
I-333,40,280,240,1083,4.0,2014-2015,I-333,19611219-0014
I-334,60,240,420,1178,3.0,2015-2016,I-334,19611219-0014
I-335,60,280,300,1218,4.0,2015-2016,I-335,19600529-0021
I-336,40,240,240,1200,1.0,2015-2016,I-336,19610620-0006
I-337,20,260,280,1107,4.0,2015-2016,I-337,19560705-0025
I-338,20,260,300,1047,3.0,2015-2016,I-338,19570826-0012
I-339,50,280,300,1293,3.0,2015-2016,I-339,19570615-0011
I-340,50,280,420,1263,4.0,2015-2016,I-340,19620522-0023
I-341,40,260,300,1262,1.0,2015-2016,I-341,19570826-0012
I-342,40,240,360,1106,2.0,2015-2016,I-342,19600905-0003
I-343,60,260,240,1291,1.0,2016-2017,I-343,19610620-0006
I-344,50,280,300,1028,3.0,2016-2017,I-344,19680712-0028
I-345,40,240,280,1265,3.0,2016-2017,I-345,19680712-0028
I-346,40,280,360,1224,3.0,2016-2017,I-346,19561222-0030
I-347,20,280,280,1209,3.0,2016-2017,I-347,19570828-0008
I-348,50,260,280,1059,2.0,2016-2017,I-348,19590129-0004
I-349,50,240,280,1283,2.0,2016-2017,I-349,19611219-0014
I-350,40,280,420,1258,3.0,2016-2017,I-350,19560812-0016
I-351,40,260,280,1115,1.0,2016-2017,I-351,19640414-0013
I-352,60,260,200,1031,4.0,2016-2017,I-352,19601021-0018
I-353,50,240,300,1295,3.0,2017-2018,I-353,19610620-0006
I-354,60,280,360,1031,4.0,2017-2018,I-354,19600814-0002
I-355,20,280,300,1297,1.0,2017-2018,I-355,19610918-0027
I-356,20,280,420,1271,1.0,2017-2018,I-356,19580218-0007
I-357,40,260,420,1084,3.0,2017-2018,I-357,19690917-0022
I-358,40,240,420,1253,4.0,2017-2018,I-358,19611219-0014
I-359,50,260,360,1166,2.0,2017-2018,I-359,19610623-0005
I-360,20,260,360,1155,2.0,2017-2018,I-360,19620424-0026
I-361,20,280,360,1088,2.0,2017-2018,I-361,19580515-0017
I-362,60,280,240,1077,2.0,2017-2018,I-362,19680712-0028
I-363,50,260,360,1104,4.0,2018-2019,I-363,19610620-0006
I-364,60,280,360,1040,2.0,2018-2019,I-364,19610620-0006
I-365,40,260,300,1256,2.0,2018-2019,I-365,19580515-0017
I-366,20,240,420,1233,3.0,2018-2019,I-366,19640414-0013
I-367,50,260,280,1184,4.0,2018-2019,I-367,19560612-0010
I-368,60,240,300,1253,1.0,2018-2019,I-368,19690513-0015
I-369,50,260,280,1189,3.0,2018-2019,I-369,19650303-0019
I-370,60,240,200,1092,2.0,2018-2019,I-370,19600529-0021
I-371,50,240,300,1015,1.0,2018-2019,I-371,19650303-0019
I-372,50,260,360,1006,4.0,2018-2019,I-372,19680712-0028
I-373,20,240,200,1224,3.0,2019-2020,I-373,19640414-0013
I-374,20,240,420,1193,4.0,2019-2020,I-374,19600529-0021
I-375,50,240,300,1142,2.0,2019-2020,I-375,19600814-0002
I-376,20,260,300,1022,2.0,2019-2020,I-376,19580515-0017
I-377,20,280,240,1289,1.0,2019-2020,I-377,19640220-0029
I-378,20,240,300,1274,1.0,2019-2020,I-378,19660630-0020
I-379,40,240,360,1152,3.0,2019-2020,I-379,19680712-0028
I-380,50,260,360,1145,2.0,2019-2020,I-380,19630126-0001
I-381,60,240,280,1136,4.0,2019-2020,I-381,19560812-0016
I-382,50,240,360,1127,2.0,2019-2020,I-382,19590129-0004
I-383,40,280,300,1218,4.0,2020-2021,I-383,19640414-0013
I-384,40,240,420,1186,4.0,2020-2021,I-384,19610620-0006
I-385,40,280,300,1228,4.0,2020-2021,I-385,19690513-0015
I-386,40,280,200,1151,3.0,2020-2021,I-386,19610620-0006
I-387,20,280,240,1109,3.0,2020-2021,I-387,19630126-0001
I-388,60,280,200,1094,3.0,2020-2021,I-388,19610620-0006
I-389,40,260,280,1264,4.0,2020-2021,I-389,19690513-0015
I-390,60,260,200,1137,1.0,2020-2021,I-390,19690513-0015
I-391,20,280,280,1105,3.0,2020-2021,I-391,19560705-0025
I-392,40,240,300,1063,2.0,2020-2021,I-392,19590129-0004
I-393,40,260,300,1047,1.0,2020-2021,I-393,19660630-0020
I-394,50,280,420,1045,3.0,2020-2021,I-394,19600529-0021
I-395,50,260,300,1224,3.0,2021-2022,I-395,19630126-0001
I-396,20,260,200,1055,1.0,2021-2022,I-396,19620522-0023
I-397,40,240,360,1236,2.0,2021-2022,I-397,19610918-0027
I-398,40,280,420,1166,4.0,2021-2022,I-398,19560812-0016
I-399,50,280,360,1047,2.0,2021-2022,I-399,19630126-0001
I-400,60,280,240,1249,2.0,2021-2022,I-400,19620424-0026
I-401,50,280,240,1149,4.0,2021-2022,I-401,19580515-0017
I-402,50,260,240,1073,1.0,2021-2022,I-402,19590129-0004
I-403,50,280,360,1045,1.0,2021-2022,I-403,19680712-0028
I-404,50,240,420,1110,4.0,2022-2023,I-404,19690513-0015
I-405,40,280,300,1251,3.0,2022-2023,I-405,19570615-0011
I-406,40,260,200,1234,1.0,2022-2023,I-406,19580218-0007
I-407,40,280,360,1102,1.0,2022-2023,I-407,19610623-0005
I-408,20,260,240,1049,3.0,2022-2023,I-408,19640220-0029
